,name,price
0,"Infinix SMART 7 (Night Black, 64 GB)",7299
1,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
2,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
3,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
4,"Infinix HOT 30i (Diamond White, 64 GB)",7999
5,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
6,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
7,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
8,"Infinix HOT 30i (Marigold, 128 GB)",8999
9,"Infinix HOT 30i (Diamond White, 128 GB)",8999
10,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
11,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
12,"Infinix HOT 30i (Marigold, 64 GB)",7999
13,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
14,"POCO C50 (Royal Blue, 32 GB)",5649
15,"POCO C51 (Royal Blue, 64 GB)",6999
16,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
17,"POCO C51 (Power Black, 64 GB)",6999
18,"POCO C50 (Country Green, 32 GB)",5649
19,"REDMI 10 (Shadow Black, 64 GB)",9499
20,"POCO C55 (Cool Blue, 64 GB)",7749
21,"REDMI A1+ (Light Blue, 32 GB)",6599
22,"REDMI A1+ (Light Green, 32 GB)",6599
23,"POCO C55 (Power Black, 64 GB)",7749
24,"Infinix SMART 7 (Night Black, 64 GB)",7299
25,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
26,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
27,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
28,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
29,"Infinix HOT 30i (Marigold, 128 GB)",8999
30,"Infinix HOT 30i (Diamond White, 64 GB)",7999
31,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
32,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
33,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
34,"Infinix HOT 30i (Diamond White, 128 GB)",8999
35,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
