,name,price
0,Cellecor E7,1327
1,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
2,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
3,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
4,"Infinix HOT 30i (Diamond White, 128 GB)",8999
5,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
6,"Infinix HOT 30i (Marigold, 128 GB)",8999
7,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
8,"Infinix SMART 7 (Night Black, 64 GB)",7299
9,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
10,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
11,"Infinix HOT 30i (Diamond White, 64 GB)",7999
12,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
13,"Infinix HOT 30i (Marigold, 64 GB)",7999
14,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
15,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
16,"POCO C51 (Royal Blue, 64 GB)",6999
17,"POCO C51 (Power Black, 64 GB)",6999
18,"POCO C50 (Country Green, 32 GB)",5649
19,"POCO C55 (Cool Blue, 64 GB)",7749
20,"REDMI 10 (Shadow Black, 64 GB)",9499
21,"REDMI A1+ (Light Green, 32 GB)",6599
22,"REDMI A1+ (Light Blue, 32 GB)",6599
23,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
24,Cellecor E7,1327
25,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
26,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
27,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
28,"Infinix HOT 30i (Diamond White, 128 GB)",8999
29,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
30,"Infinix HOT 30i (Marigold, 128 GB)",8999
31,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
32,"Infinix SMART 7 (Night Black, 64 GB)",7299
33,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
34,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
35,"Infinix HOT 30i (Diamond White, 64 GB)",7999
36,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
37,"Infinix HOT 30i (Marigold, 64 GB)",7999
38,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
39,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
40,"POCO C51 (Royal Blue, 64 GB)",6999
41,"POCO C51 (Power Black, 64 GB)",6999
42,"POCO C50 (Country Green, 32 GB)",5649
43,"POCO C55 (Cool Blue, 64 GB)",7749
44,"REDMI 10 (Shadow Black, 64 GB)",9499
45,"REDMI A1+ (Light Green, 32 GB)",6599
46,"REDMI A1+ (Light Blue, 32 GB)",6599
47,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
48,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
49,"Infinix SMART 7 (Night Black, 64 GB)",7299
50,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
51,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
52,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
53,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
54,"Infinix HOT 30i (Marigold, 128 GB)",8999
55,"Infinix HOT 30i (Diamond White, 128 GB)",8999
56,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
57,"Infinix HOT 30i (Diamond White, 64 GB)",7999
58,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
59,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
60,"Infinix HOT 30i (Marigold, 64 GB)",7999
61,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
62,"POCO C50 (Royal Blue, 32 GB)",5649
63,"POCO C51 (Royal Blue, 64 GB)",6999
64,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
65,"POCO C51 (Power Black, 64 GB)",6999
66,"POCO C50 (Country Green, 32 GB)",5649
67,"POCO C55 (Cool Blue, 64 GB)",7749
68,"REDMI A1+ (Light Green, 32 GB)",6599
69,"REDMI 10 (Shadow Black, 64 GB)",9499
70,"POCO C55 (Power Black, 64 GB)",7749
71,"REDMI A1+ (Light Blue, 32 GB)",6599
72,Cellecor E7,1327
73,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
74,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
75,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
76,"Infinix HOT 30i (Diamond White, 128 GB)",8999
77,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
78,"Infinix HOT 30i (Marigold, 128 GB)",8999
79,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
80,"Infinix SMART 7 (Night Black, 64 GB)",7299
81,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
82,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
83,"Infinix HOT 30i (Diamond White, 64 GB)",7999
84,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
85,"Infinix HOT 30i (Marigold, 64 GB)",7999
86,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
87,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
88,"POCO C51 (Royal Blue, 64 GB)",6999
89,"POCO C51 (Power Black, 64 GB)",6999
90,"POCO C50 (Country Green, 32 GB)",5649
91,"POCO C55 (Cool Blue, 64 GB)",7749
92,"REDMI 10 (Shadow Black, 64 GB)",9499
93,"REDMI A1+ (Light Green, 32 GB)",6599
94,"REDMI A1+ (Light Blue, 32 GB)",6599
95,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
96,Cellecor E7,1327
97,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
98,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
99,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
100,"Infinix HOT 30i (Diamond White, 128 GB)",8999
101,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
102,"Infinix HOT 30i (Marigold, 128 GB)",8999
103,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
104,"Infinix SMART 7 (Night Black, 64 GB)",7299
105,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
106,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
107,"Infinix HOT 30i (Diamond White, 64 GB)",7999
108,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
109,"Infinix HOT 30i (Marigold, 64 GB)",7999
110,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
111,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
112,"POCO C51 (Royal Blue, 64 GB)",6999
113,"POCO C51 (Power Black, 64 GB)",6999
114,"POCO C50 (Country Green, 32 GB)",5649
115,"POCO C55 (Cool Blue, 64 GB)",7749
116,"REDMI 10 (Shadow Black, 64 GB)",9499
117,"REDMI A1+ (Light Green, 32 GB)",6599
118,"REDMI A1+ (Light Blue, 32 GB)",6599
119,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
120,Cellecor E7,1327
121,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
122,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
123,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
124,"Infinix HOT 30i (Diamond White, 128 GB)",8999
125,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
126,"Infinix HOT 30i (Marigold, 128 GB)",8999
127,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
128,"Infinix SMART 7 (Night Black, 64 GB)",7299
129,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
130,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
131,"Infinix HOT 30i (Diamond White, 64 GB)",7999
132,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
133,"Infinix HOT 30i (Marigold, 64 GB)",7999
134,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
135,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
136,"POCO C51 (Royal Blue, 64 GB)",6999
137,"POCO C51 (Power Black, 64 GB)",6999
138,"POCO C50 (Country Green, 32 GB)",5649
139,"POCO C55 (Cool Blue, 64 GB)",7749
140,"REDMI 10 (Shadow Black, 64 GB)",9499
141,"REDMI A1+ (Light Green, 32 GB)",6599
142,"REDMI A1+ (Light Blue, 32 GB)",6599
143,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
144,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
145,"Infinix SMART 7 (Night Black, 64 GB)",7299
146,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
147,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
148,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
149,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
150,"Infinix HOT 30i (Marigold, 128 GB)",8999
151,"Infinix HOT 30i (Diamond White, 128 GB)",8999
152,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
153,"Infinix HOT 30i (Diamond White, 64 GB)",7999
154,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
155,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
156,"Infinix HOT 30i (Marigold, 64 GB)",7999
157,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
158,"POCO C50 (Royal Blue, 32 GB)",5649
159,"POCO C51 (Royal Blue, 64 GB)",6999
160,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
161,"POCO C51 (Power Black, 64 GB)",6999
162,"POCO C50 (Country Green, 32 GB)",5649
163,"POCO C55 (Cool Blue, 64 GB)",7749
164,"REDMI A1+ (Light Green, 32 GB)",6599
165,"REDMI 10 (Shadow Black, 64 GB)",9499
166,"POCO C55 (Power Black, 64 GB)",7749
167,"REDMI A1+ (Light Blue, 32 GB)",6599
168,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
169,"Infinix SMART 7 (Night Black, 64 GB)",7299
170,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
171,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
172,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
173,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
174,"Infinix HOT 30i (Marigold, 128 GB)",8999
175,"Infinix HOT 30i (Diamond White, 128 GB)",8999
176,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
177,"Infinix HOT 30i (Diamond White, 64 GB)",7999
178,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
179,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
180,"Infinix HOT 30i (Marigold, 64 GB)",7999
181,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
182,"POCO C50 (Royal Blue, 32 GB)",5649
183,"POCO C51 (Royal Blue, 64 GB)",6999
184,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
185,"POCO C51 (Power Black, 64 GB)",6999
186,"POCO C50 (Country Green, 32 GB)",5649
187,"POCO C55 (Cool Blue, 64 GB)",7749
188,"REDMI A1+ (Light Green, 32 GB)",6599
189,"REDMI 10 (Shadow Black, 64 GB)",9499
190,"POCO C55 (Power Black, 64 GB)",7749
191,"REDMI A1+ (Light Blue, 32 GB)",6599
192,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
193,"Infinix SMART 7 (Night Black, 64 GB)",7299
194,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
195,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
196,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
197,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
198,"Infinix HOT 30i (Marigold, 128 GB)",8999
199,"Infinix HOT 30i (Diamond White, 128 GB)",8999
200,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
201,"Infinix HOT 30i (Diamond White, 64 GB)",7999
202,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
203,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
204,"Infinix HOT 30i (Marigold, 64 GB)",7999
205,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
206,"POCO C50 (Royal Blue, 32 GB)",5649
207,"POCO C51 (Royal Blue, 64 GB)",6999
208,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
209,"POCO C51 (Power Black, 64 GB)",6999
210,"POCO C50 (Country Green, 32 GB)",5649
211,"POCO C55 (Cool Blue, 64 GB)",7749
212,"REDMI A1+ (Light Green, 32 GB)",6599
213,"REDMI 10 (Shadow Black, 64 GB)",9499
214,"POCO C55 (Power Black, 64 GB)",7749
215,"REDMI A1+ (Light Blue, 32 GB)",6599
216,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
217,"Infinix SMART 7 (Night Black, 64 GB)",7299
218,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
219,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
220,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
221,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
222,"Infinix HOT 30i (Marigold, 128 GB)",8999
223,"Infinix HOT 30i (Diamond White, 128 GB)",8999
224,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
225,"Infinix HOT 30i (Diamond White, 64 GB)",7999
226,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
227,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
228,"Infinix HOT 30i (Marigold, 64 GB)",7999
229,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
230,"POCO C50 (Royal Blue, 32 GB)",5649
231,"POCO C51 (Royal Blue, 64 GB)",6999
232,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
233,"POCO C51 (Power Black, 64 GB)",6999
234,"POCO C50 (Country Green, 32 GB)",5649
235,"POCO C55 (Cool Blue, 64 GB)",7749
236,"REDMI A1+ (Light Green, 32 GB)",6599
237,"REDMI 10 (Shadow Black, 64 GB)",9499
238,"POCO C55 (Power Black, 64 GB)",7749
239,"REDMI A1+ (Light Blue, 32 GB)",6599
240,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
241,"Infinix SMART 7 (Night Black, 64 GB)",7299
242,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
243,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
244,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
245,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
246,"Infinix HOT 30i (Marigold, 128 GB)",8999
247,"Infinix HOT 30i (Diamond White, 128 GB)",8999
248,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
249,"Infinix HOT 30i (Diamond White, 64 GB)",7999
250,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
251,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
252,"Infinix HOT 30i (Marigold, 64 GB)",7999
253,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
254,"POCO C50 (Royal Blue, 32 GB)",5649
255,"POCO C51 (Royal Blue, 64 GB)",6999
256,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
257,"POCO C51 (Power Black, 64 GB)",6999
258,"POCO C50 (Country Green, 32 GB)",5649
259,"POCO C55 (Cool Blue, 64 GB)",7749
260,"REDMI A1+ (Light Green, 32 GB)",6599
261,"REDMI 10 (Shadow Black, 64 GB)",9499
262,"POCO C55 (Power Black, 64 GB)",7749
263,"REDMI A1+ (Light Blue, 32 GB)",6599
264,Cellecor E7,1327
265,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
266,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
267,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
268,"Infinix HOT 30i (Diamond White, 128 GB)",8999
269,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
270,"Infinix HOT 30i (Marigold, 128 GB)",8999
271,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
272,"Infinix SMART 7 (Night Black, 64 GB)",7299
273,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
274,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
275,"Infinix HOT 30i (Diamond White, 64 GB)",7999
276,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
277,"Infinix HOT 30i (Marigold, 64 GB)",7999
278,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
279,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
280,"POCO C51 (Royal Blue, 64 GB)",6999
281,"POCO C51 (Power Black, 64 GB)",6999
282,"POCO C50 (Country Green, 32 GB)",5649
283,"POCO C55 (Cool Blue, 64 GB)",7749
284,"REDMI 10 (Shadow Black, 64 GB)",9499
285,"REDMI A1+ (Light Green, 32 GB)",6599
286,"REDMI A1+ (Light Blue, 32 GB)",6599
287,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
288,Cellecor E7,1327
289,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
290,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
291,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
292,"Infinix HOT 30i (Diamond White, 128 GB)",8999
293,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
294,"Infinix HOT 30i (Marigold, 128 GB)",8999
295,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
296,"Infinix SMART 7 (Night Black, 64 GB)",7299
297,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
298,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
299,"Infinix HOT 30i (Diamond White, 64 GB)",7999
300,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
301,"Infinix HOT 30i (Marigold, 64 GB)",7999
302,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
303,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
304,"POCO C51 (Royal Blue, 64 GB)",6999
305,"POCO C51 (Power Black, 64 GB)",6999
306,"POCO C50 (Country Green, 32 GB)",5649
307,"POCO C55 (Cool Blue, 64 GB)",7749
308,"REDMI 10 (Shadow Black, 64 GB)",9499
309,"REDMI A1+ (Light Green, 32 GB)",6599
310,"REDMI A1+ (Light Blue, 32 GB)",6599
311,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
312,Cellecor E7,1327
313,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
314,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
315,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
316,"Infinix HOT 30i (Diamond White, 128 GB)",8999
317,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
